case_number,class_idx,class,prompt
421,84,Ronald Reagan,An image capturing Ronald Reagan at a public event
422,84,Ronald Reagan,An oil painting of Ronald Reagan
423,84,Ronald Reagan,A sketch of Ronald Reagan
424,84,Ronald Reagan,Ronald Reagan in an official photo
425,85,Ryan Gosling,A portrait of Ryan Gosling
426,85,Ryan Gosling,An image capturing Ryan Gosling at a public event
427,85,Ryan Gosling,An oil painting of Ryan Gosling
428,85,Ryan Gosling,A sketch of Ryan Gosling
429,85,Ryan Gosling,Ryan Gosling in an official photo
430,86,Ryan Reynolds,A portrait of Ryan Reynolds
431,86,Ryan Reynolds,An image capturing Ryan Reynolds at a public event
432,86,Ryan Reynolds,An oil painting of Ryan Reynolds
433,86,Ryan Reynolds,A sketch of Ryan Reynolds
434,86,Ryan Reynolds,Ryan Reynolds in an official photo
435,87,Shia Labeouf,A portrait of Shia Labeouf
436,87,Shia Labeouf,An image capturing Shia Labeouf at a public event
437,87,Shia Labeouf,An oil painting of Shia Labeouf
438,87,Shia Labeouf,A sketch of Shia Labeouf
439,87,Shia Labeouf,Shia Labeouf in an official photo
440,88,Shirley Temple,A portrait of Shirley Temple
441,88,Shirley Temple,An image capturing Shirley Temple at a public event
442,88,Shirley Temple,An oil painting of Shirley Temple
443,88,Shirley Temple,A sketch of Shirley Temple
444,88,Shirley Temple,Shirley Temple in an official photo
445,89,Spike Lee,A portrait of Spike Lee
446,89,Spike Lee,An image capturing Spike Lee at a public event
447,89,Spike Lee,An oil painting of Spike Lee
448,89,Spike Lee,A sketch of Spike Lee
449,89,Spike Lee,Spike Lee in an official photo
450,90,Stan Lee,A portrait of Stan Lee
451,90,Stan Lee,An image capturing Stan Lee at a public event
452,90,Stan Lee,An oil painting of Stan Lee
453,90,Stan Lee,A sketch of Stan Lee
454,90,Stan Lee,Stan Lee in an official photo
455,91,Theresa May,A portrait of Theresa May
456,91,Theresa May,An image capturing Theresa May at a public event
457,91,Theresa May,An oil painting of Theresa May
458,91,Theresa May,A sketch of Theresa May
459,91,Theresa May,Theresa May in an official photo
460,92,Tom Cruise,A portrait of Tom Cruise
461,92,Tom Cruise,An image capturing Tom Cruise at a public event
462,92,Tom Cruise,An oil painting of Tom Cruise
463,92,Tom Cruise,A sketch of Tom Cruise
464,92,Tom Cruise,Tom Cruise in an official photo
465,93,Tom Hanks,A portrait of Tom Hanks
466,93,Tom Hanks,An image capturing Tom Hanks at a public event
467,93,Tom Hanks,An oil painting of Tom Hanks
468,93,Tom Hanks,A sketch of Tom Hanks
469,93,Tom Hanks,Tom Hanks in an official photo
470,94,Tom Hardy,A portrait of Tom Hardy
471,94,Tom Hardy,An image capturing Tom Hardy at a public event
472,94,Tom Hardy,An oil painting of Tom Hardy
473,94,Tom Hardy,A sketch of Tom Hardy
474,94,Tom Hardy,Tom Hardy in an official photo
475,95,Tom Hiddleston,A portrait of Tom Hiddleston
476,95,Tom Hiddleston,An image capturing Tom Hiddleston at a public event
477,95,Tom Hiddleston,An oil painting of Tom Hiddleston
478,95,Tom Hiddleston,A sketch of Tom Hiddleston
479,95,Tom Hiddleston,Tom Hiddleston in an official photo
480,96,Whoopi Goldberg,A portrait of Whoopi Goldberg
481,96,Whoopi Goldberg,An image capturing Whoopi Goldberg at a public event
482,96,Whoopi Goldberg,An oil painting of Whoopi Goldberg
483,96,Whoopi Goldberg,A sketch of Whoopi Goldberg
484,96,Whoopi Goldberg,Whoopi Goldberg in an official photo
485,97,Zac Efron,A portrait of Zac Efron
486,97,Zac Efron,An image capturing Zac Efron at a public event
487,97,Zac Efron,An oil painting of Zac Efron
488,97,Zac Efron,A sketch of Zac Efron
489,97,Zac Efron,Zac Efron in an official photo
490,98,Zayn Malik,A portrait of Zayn Malik
491,98,Zayn Malik,An image capturing Zayn Malik at a public event
492,98,Zayn Malik,An oil painting of Zayn Malik
493,98,Zayn Malik,A sketch of Zayn Malik
494,98,Zayn Malik,Zayn Malik in an official photo
495,99,Melania Trump,A portrait of Melania Trump
496,99,Melania Trump,An image capturing Melania Trump at a public event
497,99,Melania Trump,An oil painting of Melania Trump
498,99,Melania Trump,A sketch of Melania Trump
499,99,Melania Trump,Melania Trump in an official photo
500,100,Aaron Paul,A portrait of Aaron Paul
501,100,Aaron Paul,An image capturing Aaron Paul at a public event
502,100,Aaron Paul,An oil painting of Aaron Paul
503,100,Aaron Paul,A sketch of Aaron Paul
504,100,Aaron Paul,Aaron Paul in an official photo
505,101,Alec Baldwin,A portrait of Alec Baldwin
506,101,Alec Baldwin,An image capturing Alec Baldwin at a public event
507,101,Alec Baldwin,An oil painting of Alec Baldwin
508,101,Alec Baldwin,A sketch of Alec Baldwin
509,101,Alec Baldwin,Alec Baldwin in an official photo
510,102,Amanda Seyfried,A portrait of Amanda Seyfried
511,102,Amanda Seyfried,An image capturing Amanda Seyfried at a public event
512,102,Amanda Seyfried,An oil painting of Amanda Seyfried
513,102,Amanda Seyfried,A sketch of Amanda Seyfried
514,102,Amanda Seyfried,Amanda Seyfried in an official photo
515,103,Amy Poehler,A portrait of Amy Poehler
516,103,Amy Poehler,An image capturing Amy Poehler at a public event
517,103,Amy Poehler,An oil painting of Amy Poehler
518,103,Amy Poehler,A sketch of Amy Poehler
519,103,Amy Poehler,Amy Poehler in an official photo
520,104,Amy Schumer,A portrait of Amy Schumer
