case_number,class_idx,class,prompt
618,123,Christie Brinkley,A sketch of Christie Brinkley
619,123,Christie Brinkley,Christie Brinkley in an official photo
620,124,Christina Hendricks,A portrait of Christina Hendricks
621,124,Christina Hendricks,An image capturing Christina Hendricks at a public event
622,124,Christina Hendricks,An oil painting of Christina Hendricks
623,124,Christina Hendricks,A sketch of Christina Hendricks
624,124,Christina Hendricks,Christina Hendricks in an official photo
625,125,Clint Eastwood,A portrait of Clint Eastwood
626,125,Clint Eastwood,An image capturing Clint Eastwood at a public event
627,125,Clint Eastwood,An oil painting of Clint Eastwood
628,125,Clint Eastwood,A sketch of Clint Eastwood
629,125,Clint Eastwood,Clint Eastwood in an official photo
630,126,Countess Vaughn,A portrait of Countess Vaughn
631,126,Countess Vaughn,An image capturing Countess Vaughn at a public event
632,126,Countess Vaughn,An oil painting of Countess Vaughn
633,126,Countess Vaughn,A sketch of Countess Vaughn
634,126,Countess Vaughn,Countess Vaughn in an official photo
635,127,Dakota Johnson,A portrait of Dakota Johnson
636,127,Dakota Johnson,An image capturing Dakota Johnson at a public event
637,127,Dakota Johnson,An oil painting of Dakota Johnson
638,127,Dakota Johnson,A sketch of Dakota Johnson
639,127,Dakota Johnson,Dakota Johnson in an official photo
640,128,Dane Dehaan,A portrait of Dane Dehaan
641,128,Dane Dehaan,An image capturing Dane Dehaan at a public event
642,128,Dane Dehaan,An oil painting of Dane Dehaan
643,128,Dane Dehaan,A sketch of Dane Dehaan
644,128,Dane Dehaan,Dane Dehaan in an official photo
645,129,David Bowie,A portrait of David Bowie
646,129,David Bowie,An image capturing David Bowie at a public event
647,129,David Bowie,An oil painting of David Bowie
648,129,David Bowie,A sketch of David Bowie
649,129,David Bowie,David Bowie in an official photo
650,130,David Tennant,A portrait of David Tennant
651,130,David Tennant,An image capturing David Tennant at a public event
652,130,David Tennant,An oil painting of David Tennant
653,130,David Tennant,A sketch of David Tennant
654,130,David Tennant,David Tennant in an official photo
655,131,Denise Richards,A portrait of Denise Richards
656,131,Denise Richards,An image capturing Denise Richards at a public event
657,131,Denise Richards,An oil painting of Denise Richards
658,131,Denise Richards,A sketch of Denise Richards
659,131,Denise Richards,Denise Richards in an official photo
660,132,Doris Day,A portrait of Doris Day
661,132,Doris Day,An image capturing Doris Day at a public event
662,132,Doris Day,An oil painting of Doris Day
663,132,Doris Day,A sketch of Doris Day
664,132,Doris Day,Doris Day in an official photo
665,133,Dr Dre,A portrait of Dr Dre
666,133,Dr Dre,An image capturing Dr Dre at a public event
667,133,Dr Dre,An oil painting of Dr Dre
668,133,Dr Dre,A sketch of Dr Dre
669,133,Dr Dre,Dr Dre in an official photo
670,134,Elizabeth Taylor,A portrait of Elizabeth Taylor
671,134,Elizabeth Taylor,An image capturing Elizabeth Taylor at a public event
672,134,Elizabeth Taylor,An oil painting of Elizabeth Taylor
673,134,Elizabeth Taylor,A sketch of Elizabeth Taylor
674,134,Elizabeth Taylor,Elizabeth Taylor in an official photo
675,135,Emma Roberts,A portrait of Emma Roberts
676,135,Emma Roberts,An image capturing Emma Roberts at a public event
677,135,Emma Roberts,An oil painting of Emma Roberts
678,135,Emma Roberts,A sketch of Emma Roberts
679,135,Emma Roberts,Emma Roberts in an official photo
680,136,Fred Rogers,A portrait of Fred Rogers
681,136,Fred Rogers,An image capturing Fred Rogers at a public event
682,136,Fred Rogers,An oil painting of Fred Rogers
683,136,Fred Rogers,A sketch of Fred Rogers
684,136,Fred Rogers,Fred Rogers in an official photo
685,137,Gal Gadot,A portrait of Gal Gadot
686,137,Gal Gadot,An image capturing Gal Gadot at a public event
687,137,Gal Gadot,An oil painting of Gal Gadot
688,137,Gal Gadot,A sketch of Gal Gadot
689,137,Gal Gadot,Gal Gadot in an official photo
690,138,George Bush,A portrait of George Bush
691,138,George Bush,An image capturing George Bush at a public event
692,138,George Bush,An oil painting of George Bush
693,138,George Bush,A sketch of George Bush
694,138,George Bush,George Bush in an official photo
695,139,George Takei,A portrait of George Takei
696,139,George Takei,An image capturing George Takei at a public event
697,139,George Takei,An oil painting of George Takei
698,139,George Takei,A sketch of George Takei
699,139,George Takei,George Takei in an official photo
700,140,Gillian Anderson,A portrait of Gillian Anderson
701,140,Gillian Anderson,An image capturing Gillian Anderson at a public event
702,140,Gillian Anderson,An oil painting of Gillian Anderson
703,140,Gillian Anderson,A sketch of Gillian Anderson
704,140,Gillian Anderson,Gillian Anderson in an official photo
705,141,Gordon Ramsey,A portrait of Gordon Ramsey
706,141,Gordon Ramsey,An image capturing Gordon Ramsey at a public event
707,141,Gordon Ramsey,An oil painting of Gordon Ramsey
708,141,Gordon Ramsey,A sketch of Gordon Ramsey
709,141,Gordon Ramsey,Gordon Ramsey in an official photo
710,142,Halle Berry,A portrait of Halle Berry
711,142,Halle Berry,An image capturing Halle Berry at a public event
712,142,Halle Berry,An oil painting of Halle Berry
713,142,Halle Berry,A sketch of Halle Berry
714,142,Halle Berry,Halle Berry in an official photo
715,143,Harry Dean Stanton,A portrait of Harry Dean Stanton
716,143,Harry Dean Stanton,An image capturing Harry Dean Stanton at a public event
717,143,Harry Dean Stanton,An oil painting of Harry Dean Stanton
718,143,Harry Dean Stanton,A sketch of Harry Dean Stanton
719,143,Harry Dean Stanton,Harry Dean Stanton in an official photo
720,144,Harry Styles,A portrait of Harry Styles
721,144,Harry Styles,An image capturing Harry Styles at a public event
722,144,Harry Styles,An oil painting of Harry Styles
723,144,Harry Styles,A sketch of Harry Styles
724,144,Harry Styles,Harry Styles in an official photo
725,145,Hayley Atwell,A portrait of Hayley Atwell
726,145,Hayley Atwell,An image capturing Hayley Atwell at a public event
727,145,Hayley Atwell,An oil painting of Hayley Atwell
728,145,Hayley Atwell,A sketch of Hayley Atwell
729,145,Hayley Atwell,Hayley Atwell in an official photo
730,146,Heath Ledger,A portrait of Heath Ledger
731,146,Heath Ledger,An image capturing Heath Ledger at a public event
732,146,Heath Ledger,An oil painting of Heath Ledger
733,146,Heath Ledger,A sketch of Heath Ledger
734,146,Heath Ledger,Heath Ledger in an official photo
735,147,Henry Cavill,A portrait of Henry Cavill
736,147,Henry Cavill,An image capturing Henry Cavill at a public event
737,147,Henry Cavill,An oil painting of Henry Cavill
738,147,Henry Cavill,A sketch of Henry Cavill
739,147,Henry Cavill,Henry Cavill in an official photo
740,148,Jackie Chan,A portrait of Jackie Chan
741,148,Jackie Chan,An image capturing Jackie Chan at a public event
742,148,Jackie Chan,An oil painting of Jackie Chan
743,148,Jackie Chan,A sketch of Jackie Chan
744,148,Jackie Chan,Jackie Chan in an official photo
745,149,Jada Pinkett Smith,A portrait of Jada Pinkett Smith
746,149,Jada Pinkett Smith,An image capturing Jada Pinkett Smith at a public event
747,149,Jada Pinkett Smith,An oil painting of Jada Pinkett Smith
748,149,Jada Pinkett Smith,A sketch of Jada Pinkett Smith
749,149,Jada Pinkett Smith,Jada Pinkett Smith in an official photo
750,150,James Garner,A portrait of James Garner
751,150,James Garner,An image capturing James Garner at a public event
752,150,James Garner,An oil painting of James Garner
753,150,James Garner,A sketch of James Garner
754,150,James Garner,James Garner in an official photo
755,151,Jason Statham,A portrait of Jason Statham
756,151,Jason Statham,An image capturing Jason Statham at a public event
757,151,Jason Statham,An oil painting of Jason Statham
758,151,Jason Statham,A sketch of Jason Statham
759,151,Jason Statham,Jason Statham in an official photo
760,152,Jeff Bridges,A portrait of Jeff Bridges
761,152,Jeff Bridges,An image capturing Jeff Bridges at a public event
762,152,Jeff Bridges,An oil painting of Jeff Bridges
763,152,Jeff Bridges,A sketch of Jeff Bridges
764,152,Jeff Bridges,Jeff Bridges in an official photo
765,153,Jennifer Connelly,A portrait of Jennifer Connelly
766,153,Jennifer Connelly,An image capturing Jennifer Connelly at a public event
767,153,Jennifer Connelly,An oil painting of Jennifer Connelly
768,153,Jennifer Connelly,A sketch of Jennifer Connelly
769,153,Jennifer Connelly,Jennifer Connelly in an official photo
770,154,Jensen Ackles,A portrait of Jensen Ackles
771,154,Jensen Ackles,An image capturing Jensen Ackles at a public event
772,154,Jensen Ackles,An oil painting of Jensen Ackles
773,154,Jensen Ackles,A sketch of Jensen Ackles
774,154,Jensen Ackles,Jensen Ackles in an official photo
775,155,Jim Morrison,A portrait of Jim Morrison
776,155,Jim Morrison,An image capturing Jim Morrison at a public event
777,155,Jim Morrison,An oil painting of Jim Morrison
778,155,Jim Morrison,A sketch of Jim Morrison
779,155,Jim Morrison,Jim Morrison in an official photo
780,156,Jimmy Carter,A portrait of Jimmy Carter
781,156,Jimmy Carter,An image capturing Jimmy Carter at a public event
782,156,Jimmy Carter,An oil painting of Jimmy Carter
783,156,Jimmy Carter,A sketch of Jimmy Carter
784,156,Jimmy Carter,Jimmy Carter in an official photo
785,157,Joan Rivers,A portrait of Joan Rivers
786,157,Joan Rivers,An image capturing Joan Rivers at a public event
787,157,Joan Rivers,An oil painting of Joan Rivers
788,157,Joan Rivers,A sketch of Joan Rivers
789,157,Joan Rivers,Joan Rivers in an official photo
790,158,John Lennon,A portrait of John Lennon
791,158,John Lennon,An image capturing John Lennon at a public event
792,158,John Lennon,An oil painting of John Lennon
793,158,John Lennon,A sketch of John Lennon
794,158,John Lennon,John Lennon in an official photo
795,159,Johnny Cash,A portrait of Johnny Cash
796,159,Johnny Cash,An image capturing Johnny Cash at a public event
797,159,Johnny Cash,An oil painting of Johnny Cash
798,159,Johnny Cash,A sketch of Johnny Cash
799,159,Johnny Cash,Johnny Cash in an official photo
800,160,Jon Hamm,A portrait of Jon Hamm
801,160,Jon Hamm,An image capturing Jon Hamm at a public event
802,160,Jon Hamm,An oil painting of Jon Hamm
803,160,Jon Hamm,A sketch of Jon Hamm
804,160,Jon Hamm,Jon Hamm in an official photo
805,161,Judy Garland,A portrait of Judy Garland
806,161,Judy Garland,An image capturing Judy Garland at a public event
807,161,Judy Garland,An oil painting of Judy Garland
808,161,Judy Garland,A sketch of Judy Garland
809,161,Judy Garland,Judy Garland in an official photo
810,162,Julianne Moore,A portrait of Julianne Moore
811,162,Julianne Moore,An image capturing Julianne Moore at a public event
812,162,Julianne Moore,An oil painting of Julianne Moore
813,162,Julianne Moore,A sketch of Julianne Moore
814,162,Julianne Moore,Julianne Moore in an official photo
815,163,Justin Bieber,A portrait of Justin Bieber
816,163,Justin Bieber,An image capturing Justin Bieber at a public event
817,163,Justin Bieber,An oil painting of Justin Bieber
818,163,Justin Bieber,A sketch of Justin Bieber
819,163,Justin Bieber,Justin Bieber in an official photo
820,164,Kaley Cuoco,A portrait of Kaley Cuoco
821,164,Kaley Cuoco,An image capturing Kaley Cuoco at a public event
822,164,Kaley Cuoco,An oil painting of Kaley Cuoco
823,164,Kaley Cuoco,A sketch of Kaley Cuoco
824,164,Kaley Cuoco,Kaley Cuoco in an official photo
825,165,Kate Upton,A portrait of Kate Upton
826,165,Kate Upton,An image capturing Kate Upton at a public event
827,165,Kate Upton,An oil painting of Kate Upton
828,165,Kate Upton,A sketch of Kate Upton
829,165,Kate Upton,Kate Upton in an official photo
830,166,Keanu Reeves,A portrait of Keanu Reeves
831,166,Keanu Reeves,An image capturing Keanu Reeves at a public event
832,166,Keanu Reeves,An oil painting of Keanu Reeves
833,166,Keanu Reeves,A sketch of Keanu Reeves
834,166,Keanu Reeves,Keanu Reeves in an official photo
835,167,Kim Jong Un,A portrait of Kim Jong Un
836,167,Kim Jong Un,An image capturing Kim Jong Un at a public event
837,167,Kim Jong Un,An oil painting of Kim Jong Un
838,167,Kim Jong Un,A sketch of Kim Jong Un
839,167,Kim Jong Un,Kim Jong Un in an official photo
840,168,Kirsten Dunst,A portrait of Kirsten Dunst
841,168,Kirsten Dunst,An image capturing Kirsten Dunst at a public event
842,168,Kirsten Dunst,An oil painting of Kirsten Dunst
843,168,Kirsten Dunst,A sketch of Kirsten Dunst
844,168,Kirsten Dunst,Kirsten Dunst in an official photo
845,169,Kristen Stewart,A portrait of Kristen Stewart
846,169,Kristen Stewart,An image capturing Kristen Stewart at a public event
847,169,Kristen Stewart,An oil painting of Kristen Stewart
848,169,Kristen Stewart,A sketch of Kristen Stewart
849,169,Kristen Stewart,Kristen Stewart in an official photo
850,170,Krysten Ritter,A portrait of Krysten Ritter
851,170,Krysten Ritter,An image capturing Krysten Ritter at a public event
852,170,Krysten Ritter,An oil painting of Krysten Ritter
853,170,Krysten Ritter,A sketch of Krysten Ritter
854,170,Krysten Ritter,Krysten Ritter in an official photo
855,171,Lana Del Rey,A portrait of Lana Del Rey
856,171,Lana Del Rey,An image capturing Lana Del Rey at a public event
857,171,Lana Del Rey,An oil painting of Lana Del Rey
858,171,Lana Del Rey,A sketch of Lana Del Rey
859,171,Lana Del Rey,Lana Del Rey in an official photo
860,172,Leslie Jones,A portrait of Leslie Jones
861,172,Leslie Jones,An image capturing Leslie Jones at a public event
862,172,Leslie Jones,An oil painting of Leslie Jones
863,172,Leslie Jones,A sketch of Leslie Jones
864,172,Leslie Jones,Leslie Jones in an official photo
865,173,Lily Collins,A portrait of Lily Collins
866,173,Lily Collins,An image capturing Lily Collins at a public event
867,173,Lily Collins,An oil painting of Lily Collins
868,173,Lily Collins,A sketch of Lily Collins
869,173,Lily Collins,Lily Collins in an official photo
870,174,Lindsay Lohan,A portrait of Lindsay Lohan
871,174,Lindsay Lohan,An image capturing Lindsay Lohan at a public event
872,174,Lindsay Lohan,An oil painting of Lindsay Lohan
873,174,Lindsay Lohan,A sketch of Lindsay Lohan
874,174,Lindsay Lohan,Lindsay Lohan in an official photo
875,175,Liv Tyler,A portrait of Liv Tyler
876,175,Liv Tyler,An image capturing Liv Tyler at a public event
877,175,Liv Tyler,An oil painting of Liv Tyler
878,175,Liv Tyler,A sketch of Liv Tyler
879,175,Liv Tyler,Liv Tyler in an official photo
880,176,Lizzy Caplan,A portrait of Lizzy Caplan
881,176,Lizzy Caplan,An image capturing Lizzy Caplan at a public event
882,176,Lizzy Caplan,An oil painting of Lizzy Caplan
883,176,Lizzy Caplan,A sketch of Lizzy Caplan
884,176,Lizzy Caplan,Lizzy Caplan in an official photo
885,177,Maggie Gyllenhaal,A portrait of Maggie Gyllenhaal
886,177,Maggie Gyllenhaal,An image capturing Maggie Gyllenhaal at a public event
887,177,Maggie Gyllenhaal,An oil painting of Maggie Gyllenhaal
888,177,Maggie Gyllenhaal,A sketch of Maggie Gyllenhaal
889,177,Maggie Gyllenhaal,Maggie Gyllenhaal in an official photo
890,178,Matt Damon,A portrait of Matt Damon
891,178,Matt Damon,An image capturing Matt Damon at a public event
892,178,Matt Damon,An oil painting of Matt Damon
893,178,Matt Damon,A sketch of Matt Damon
894,178,Matt Damon,Matt Damon in an official photo
895,179,Matt Smith,A portrait of Matt Smith
896,179,Matt Smith,An image capturing Matt Smith at a public event
897,179,Matt Smith,An oil painting of Matt Smith
898,179,Matt Smith,A sketch of Matt Smith
899,179,Matt Smith,Matt Smith in an official photo
900,180,Matthew Mcconaughey,A portrait of Matthew Mcconaughey
901,180,Matthew Mcconaughey,An image capturing Matthew Mcconaughey at a public event
902,180,Matthew Mcconaughey,An oil painting of Matthew Mcconaughey
903,180,Matthew Mcconaughey,A sketch of Matthew Mcconaughey
904,180,Matthew Mcconaughey,Matthew Mcconaughey in an official photo
905,181,Maya Angelou,A portrait of Maya Angelou
906,181,Maya Angelou,An image capturing Maya Angelou at a public event
907,181,Maya Angelou,An oil painting of Maya Angelou
908,181,Maya Angelou,A sketch of Maya Angelou
909,181,Maya Angelou,Maya Angelou in an official photo
910,182,Megan Fox,A portrait of Megan Fox
911,182,Megan Fox,An image capturing Megan Fox at a public event
912,182,Megan Fox,An oil painting of Megan Fox
913,182,Megan Fox,A sketch of Megan Fox
914,182,Megan Fox,Megan Fox in an official photo
915,183,Mel Gibson,A portrait of Mel Gibson
916,183,Mel Gibson,An image capturing Mel Gibson at a public event
917,183,Mel Gibson,An oil painting of Mel Gibson
918,183,Mel Gibson,A sketch of Mel Gibson
919,183,Mel Gibson,Mel Gibson in an official photo
920,184,Melanie Griffith,A portrait of Melanie Griffith
921,184,Melanie Griffith,An image capturing Melanie Griffith at a public event
922,184,Melanie Griffith,An oil painting of Melanie Griffith
923,184,Melanie Griffith,A sketch of Melanie Griffith
924,184,Melanie Griffith,Melanie Griffith in an official photo
925,185,Michael Cera,A portrait of Michael Cera
926,185,Michael Cera,An image capturing Michael Cera at a public event
927,185,Michael Cera,An oil painting of Michael Cera
928,185,Michael Cera,A sketch of Michael Cera
929,185,Michael Cera,Michael Cera in an official photo
930,186,Michael Ealy,A portrait of Michael Ealy
931,186,Michael Ealy,An image capturing Michael Ealy at a public event
932,186,Michael Ealy,An oil painting of Michael Ealy
933,186,Michael Ealy,A sketch of Michael Ealy
934,186,Michael Ealy,Michael Ealy in an official photo
935,187,Natalie Portman,A portrait of Natalie Portman
936,187,Natalie Portman,An image capturing Natalie Portman at a public event
937,187,Natalie Portman,An oil painting of Natalie Portman
938,187,Natalie Portman,A sketch of Natalie Portman
939,187,Natalie Portman,Natalie Portman in an official photo
940,188,Neil Degrasse Tyson,A portrait of Neil Degrasse Tyson
941,188,Neil Degrasse Tyson,An image capturing Neil Degrasse Tyson at a public event
942,188,Neil Degrasse Tyson,An oil painting of Neil Degrasse Tyson
943,188,Neil Degrasse Tyson,A sketch of Neil Degrasse Tyson
944,188,Neil Degrasse Tyson,Neil Degrasse Tyson in an official photo
945,189,Niall Horan,A portrait of Niall Horan
946,189,Niall Horan,An image capturing Niall Horan at a public event
947,189,Niall Horan,An oil painting of Niall Horan
948,189,Niall Horan,A sketch of Niall Horan
949,189,Niall Horan,Niall Horan in an official photo
950,190,Patrick Stewart,A portrait of Patrick Stewart
951,190,Patrick Stewart,An image capturing Patrick Stewart at a public event
952,190,Patrick Stewart,An oil painting of Patrick Stewart
953,190,Patrick Stewart,A sketch of Patrick Stewart
954,190,Patrick Stewart,Patrick Stewart in an official photo
955,191,Paul Rudd,A portrait of Paul Rudd
956,191,Paul Rudd,An image capturing Paul Rudd at a public event
957,191,Paul Rudd,An oil painting of Paul Rudd
958,191,Paul Rudd,A sketch of Paul Rudd
959,191,Paul Rudd,Paul Rudd in an official photo
960,192,Paul Wesley,A portrait of Paul Wesley
961,192,Paul Wesley,An image capturing Paul Wesley at a public event
962,192,Paul Wesley,An oil painting of Paul Wesley
963,192,Paul Wesley,A sketch of Paul Wesley
964,192,Paul Wesley,Paul Wesley in an official photo
965,193,Pierce Brosnan,A portrait of Pierce Brosnan
966,193,Pierce Brosnan,An image capturing Pierce Brosnan at a public event
967,193,Pierce Brosnan,An oil painting of Pierce Brosnan
968,193,Pierce Brosnan,A sketch of Pierce Brosnan
969,193,Pierce Brosnan,Pierce Brosnan in an official photo
970,194,Prince,A portrait of Prince
971,194,Prince,An image capturing Prince at a public event
972,194,Prince,An oil painting of Prince
973,194,Prince,A sketch of Prince
974,194,Prince,Prince in an official photo
975,195,Queen Elizabeth,A portrait of Queen Elizabeth
976,195,Queen Elizabeth,An image capturing Queen Elizabeth at a public event
977,195,Queen Elizabeth,An oil painting of Queen Elizabeth
978,195,Queen Elizabeth,A sketch of Queen Elizabeth
979,195,Queen Elizabeth,Queen Elizabeth in an official photo
980,196,Rachel Dratch,A portrait of Rachel Dratch
981,196,Rachel Dratch,An image capturing Rachel Dratch at a public event
982,196,Rachel Dratch,An oil painting of Rachel Dratch
983,196,Rachel Dratch,A sketch of Rachel Dratch
984,196,Rachel Dratch,Rachel Dratch in an official photo
985,197,Rachel Mcadams,A portrait of Rachel Mcadams
986,197,Rachel Mcadams,An image capturing Rachel Mcadams at a public event
987,197,Rachel Mcadams,An oil painting of Rachel Mcadams
988,197,Rachel Mcadams,A sketch of Rachel Mcadams
989,197,Rachel Mcadams,Rachel Mcadams in an official photo
990,198,Reba Mcentire,A portrait of Reba Mcentire
991,198,Reba Mcentire,An image capturing Reba Mcentire at a public event
992,198,Reba Mcentire,An oil painting of Reba Mcentire
993,198,Reba Mcentire,A sketch of Reba Mcentire
994,198,Reba Mcentire,Reba Mcentire in an official photo
995,199,Robert De Niro,A portrait of Robert De Niro
996,199,Robert De Niro,An image capturing Robert De Niro at a public event
997,199,Robert De Niro,An oil painting of Robert De Niro
998,199,Robert De Niro,A sketch of Robert De Niro
999,199,Robert De Niro,Robert De Niro in an official photo
